,Date,nzd_direction,nzd_strength,nzd_trend,tec_direction,tec_strength,tec_trend,lastday_direction,lastday_strength,lastday_trend,vix,weekday,a50_direction,a50_strength,a50_trend
0,2017-03-17,0,0,0,0,0,0,0,0,0,0,4,-1,2,2
1,2017-03-20,1,1,1,0,0,0,-1,2,2,0,0,0,0,0
2,2017-03-21,-1,0,1,0,0,0,0,0,0,0,1,0,0,0
3,2017-03-22,-1,0,1,-1,2,2,0,0,0,0,2,0,0,0
4,2017-03-23,-1,1,1,1,0,1,0,0,0,0,3,0,1,0
5,2017-03-24,0,0,0,0,0,0,0,1,0,0,4,0,1,0
6,2017-03-27,0,0,0,1,0,1,0,1,0,0,0,0,0,0
7,2017-03-28,0,0,0,1,1,1,0,0,0,0,1,-1,1,1
8,2017-03-29,0,1,0,1,1,1,-1,1,1,0,2,0,0,0
9,2017-03-30,0,0,0,0,0,0,0,0,0,0,3,-1,1,2
10,2017-03-31,0,0,0,0,0,0,-1,1,2,0,4,1,0,1
11,2017-04-03,0,0,0,0,0,0,1,0,1,0,0,1,0,1
12,2017-04-04,0,0,0,0,0,0,1,0,1,0,1,0,0,0
13,2017-04-05,0,0,0,1,0,1,0,0,0,0,2,0,0,0
14,2017-04-06,1,2,2,1,0,1,0,0,0,0,3,0,1,0
15,2017-04-07,0,0,0,0,0,0,0,1,0,0,4,0,0,0
16,2017-04-10,0,0,0,0,0,0,0,0,0,0,0,-1,0,1
17,2017-04-11,0,0,0,0,0,0,-1,0,1,0,1,-1,1,1
18,2017-04-12,0,0,0,-1,1,1,-1,1,1,0,2,0,0,0
19,2017-04-13,0,0,0,0,0,0,0,0,0,0,3,0,0,0
20,2017-04-17,1,0,1,0,0,0,0,0,0,0,0,0,0,0
21,2017-04-18,1,0,1,0,0,0,0,0,0,0,1,0,0,0
22,2017-04-19,0,0,0,0,0,0,0,0,0,0,2,0,0,0
23,2017-04-20,1,5,3,0,0,0,0,0,0,0,3,1,1,2
24,2017-04-21,-1,1,1,1,0,1,1,1,2,0,4,0,0,0
25,2017-04-24,0,2,0,0,0,0,0,0,0,0,0,-1,1,2
26,2017-04-25,0,0,0,0,0,0,-1,1,2,0,1,1,0,1
27,2017-04-26,0,0,0,1,0,1,1,0,1,0,2,0,0,0
28,2017-04-27,0,0,0,0,0,0,0,0,0,0,3,0,0,0
29,2017-04-28,0,0,0,0,0,0,0,0,0,0,4,-1,0,1
30,2017-05-01,1,1,2,0,0,0,-1,0,1,0,0,0,0,0
31,2017-05-02,0,0,0,1,0,1,0,0,0,0,1,0,0,0
32,2017-05-03,1,4,4,0,0,0,0,0,0,0,2,0,0,0
33,2017-05-04,1,1,1,0,0,0,0,0,0,0,3,0,0,0
34,2017-05-05,0,0,0,0,0,0,0,0,0,0,4,-1,1,1
35,2017-05-08,0,0,0,0,0,0,-1,1,1,0,0,-1,1,1
36,2017-05-09,0,0,0,0,0,0,-1,1,1,0,1,0,0,0
37,2017-05-10,0,1,0,0,0,0,0,0,0,0,2,1,0,1
38,2017-05-11,-1,2,4,0,0,0,1,0,1,0,3,0,0,0
39,2017-05-12,-1,1,1,0,0,0,0,0,0,0,4,1,2,4
40,2017-05-15,0,2,0,0,0,0,1,2,4,0,0,0,0,0
41,2017-05-16,0,0,0,0,0,0,0,0,0,0,1,-1,1,1
42,2017-05-17,1,1,1,0,0,0,-1,1,1,0,2,-1,0,1
43,2017-05-18,-1,0,1,-1,2,2,-1,0,1,0,3,0,0,0
44,2017-05-19,0,0,0,1,1,2,0,0,0,0,4,1,0,1
45,2017-05-22,1,2,2,1,0,1,1,0,1,0,0,1,1,1
46,2017-05-23,0,0,0,1,1,1,1,1,1,0,1,1,2,3
47,2017-05-24,0,0,0,0,0,0,1,2,3,0,2,0,1,0
48,2017-05-25,0,0,0,0,0,0,0,1,0,0,3,1,4,5
49,2017-05-26,0,0,0,1,1,1,1,4,5,0,4,0,1,0
50,2017-05-29,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,2017-05-30,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,2017-05-31,-1,1,1,0,0,0,0,0,0,0,2,0,2,0
53,2017-06-01,-1,0,1,-1,1,1,0,2,0,0,3,1,1,1
54,2017-06-02,0,0,0,0,0,0,1,1,1,0,4,-1,1,1
55,2017-06-05,0,0,0,0,1,0,-1,1,1,0,0,-1,1,3
56,2017-06-06,0,0,0,0,0,0,-1,1,3,0,1,0,0,0
57,2017-06-07,1,0,1,0,0,0,0,0,0,0,2,1,1,3
58,2017-06-08,0,0,0,0,0,0,1,1,3,0,3,1,2,1
59,2017-06-09,0,0,0,0,0,0,1,2,1,0,4,1,1,2
60,2017-06-12,0,1,0,-1,4,2,1,1,2,0,0,0,1,0
61,2017-06-13,1,0,1,0,1,0,0,1,0,0,1,-1,1,1
62,2017-06-14,0,1,0,0,0,0,-1,1,1,0,2,-1,1,3
63,2017-06-15,-1,2,1,0,1,0,-1,1,3,0,3,-1,1,2
64,2017-06-16,0,0,0,0,1,0,-1,1,2,0,4,0,1,0
65,2017-06-19,0,0,0,-1,1,1,0,1,0,0,0,1,1,3
66,2017-06-20,0,0,0,1,1,1,1,1,3,0,1,-1,0,1
67,2017-06-21,1,0,1,0,0,0,-1,0,1,0,2,0,1,0
68,2017-06-22,0,0,0,1,1,2,0,1,0,0,3,1,3,5
69,2017-06-23,0,0,0,0,0,0,1,3,5,0,4,0,1,0
70,2017-06-26,0,0,0,0,1,0,0,1,0,0,0,1,1,3
71,2017-06-27,-1,1,1,-1,1,1,1,1,3,0,1,-1,1,1
72,2017-06-28,0,1,0,-1,1,1,-1,1,1,0,2,0,1,0
73,2017-06-29,0,0,0,1,1,2,0,1,0,0,3,0,0,0
74,2017-06-30,0,1,0,-1,3,4,0,0,0,0,4,0,0,0
75,2017-07-03,1,3,4,0,0,0,0,0,0,0,0,-1,1,2
76,2017-07-04,0,1,0,-1,2,2,-1,1,2,0,1,-1,2,3
77,2017-07-05,0,0,0,-1,1,1,-1,2,3,0,2,1,2,2
78,2017-07-06,-1,0,1,1,1,1,1,2,2,0,3,0,1,0
79,2017-07-07,0,0,0,0,0,0,0,1,0,0,4,-1,0,1
80,2017-07-10,0,0,0,1,1,2,-1,0,1,0,0,0,1,0
81,2017-07-11,-1,2,2,0,1,0,0,1,0,0,1,1,3,4
82,2017-07-12,0,0,0,0,0,0,1,3,4,0,2,1,2,1
83,2017-07-13,0,1,0,1,1,1,1,2,1,0,3,1,1,1
84,2017-07-14,0,0,0,0,0,0,1,1,1,0,4,0,1,0
85,2017-07-17,0,1,0,1,1,1,0,1,0,0,0,1,2,1
86,2017-07-18,-1,5,3,0,0,0,1,2,1,0,1,-1,1,1
87,2017-07-19,0,0,0,0,1,0,-1,1,1,0,2,1,2,3
88,2017-07-20,0,0,0,0,0,0,1,2,3,0,3,0,0,0
89,2017-07-21,-1,0,1,0,0,0,0,0,0,0,4,-1,0,1
90,2017-07-24,0,0,0,0,0,0,-1,0,1,0,0,1,1,1
91,2017-07-25,0,0,0,0,0,0,1,1,1,0,1,0,1,0
92,2017-07-26,0,0,0,0,0,0,0,1,0,0,2,-1,2,2
93,2017-07-27,1,0,1,0,0,0,-1,2,2,0,3,-1,1,1
94,2017-07-28,1,1,1,-1,3,1,-1,1,1,0,4,1,0,1
95,2017-07-31,0,1,0,1,1,1,1,0,1,0,0,0,0,0
96,2017-08-01,-1,0,1,-1,1,1,0,0,0,0,1,1,1,2
97,2017-08-02,-1,5,5,0,0,0,1,1,2,0,2,0,0,0
98,2017-08-03,-1,1,1,-1,1,1,0,0,0,0,3,-1,2,2
99,2017-08-04,0,0,0,-1,0,1,-1,2,2,0,4,-1,1,1
100,2017-08-07,1,1,2,0,0,0,-1,1,1,0,0,0,1,0
101,2017-08-08,0,0,0,0,0,0,0,1,0,0,1,0,0,0
102,2017-08-09,0,0,0,1,1,1,0,0,0,0,2,0,0,0
103,2017-08-10,1,2,3,1,1,1,0,0,0,0,3,-1,2,1
104,2017-08-11,1,1,1,-1,1,2,-1,2,1,0,4,-1,1,1
105,2017-08-14,0,2,0,1,1,2,-1,1,1,0,0,1,1,2
106,2017-08-15,0,0,0,1,0,1,1,1,2,0,1,1,1,2
107,2017-08-16,-1,0,1,0,0,0,1,1,2,0,2,0,0,0
108,2017-08-17,0,0,0,0,0,0,0,0,0,0,3,0,0,0
109,2017-08-18,0,0,0,-1,1,2,0,0,0,0,4,1,1,1
110,2017-08-21,-1,0,1,0,1,0,1,1,1,0,0,0,0,0
111,2017-08-22,0,0,0,0,0,0,0,0,0,0,1,1,1,1
112,2017-08-23,0,0,0,1,1,2,1,1,1,0,2,1,1,1
113,2017-08-24,1,1,1,0,0,0,1,1,1,0,3,0,1,0
114,2017-08-25,0,0,0,-1,1,1,0,1,0,0,4,1,3,5
115,2017-08-28,1,2,2,-1,0,1,1,3,5,0,0,1,2,3
116,2017-08-29,-1,3,5,0,0,0,1,2,3,0,1,0,0,0
117,2017-08-30,1,1,2,1,1,2,0,0,0,0,2,0,1,0
118,2017-08-31,0,0,0,1,1,1,0,1,0,0,3,-1,1,3
119,2017-09-01,0,0,0,1,1,1,-1,1,3,0,4,0,1,0
120,2017-09-04,1,1,1,0,0,0,0,1,0,0,0,0,1,0
121,2017-09-05,0,0,0,0,0,0,0,1,0,0,1,1,1,2
122,2017-09-06,1,1,2,-1,1,2,1,1,2,0,2,-1,0,1
123,2017-09-07,0,0,0,0,0,0,-1,0,1,0,3,-1,1,2
124,2017-09-08,0,1,0,0,0,0,-1,1,2,0,4,0,1,0
125,2017-09-11,0,0,0,0,0,0,0,1,0,0,0,-1,1,1
126,2017-09-12,0,0,0,1,0,1,-1,1,1,0,1,-1,0,1
127,2017-09-13,-1,1,1,0,0,0,-1,0,1,0,2,0,0,0
128,2017-09-14,1,2,3,0,0,0,0,0,0,0,3,-1,1,1
129,2017-09-15,0,0,0,0,0,0,-1,1,1,0,4,0,0,0
130,2017-09-18,1,1,1,1,1,1,0,0,0,0,0,0,1,0
131,2017-09-19,0,0,0,0,0,0,0,1,0,0,1,-1,1,1
132,2017-09-20,0,1,0,0,0,0,-1,1,1,0,2,1,1,1
133,2017-09-21,0,1,0,-1,1,1,1,1,1,0,3,1,1,1
134,2017-09-22,-1,1,1,-1,1,1,1,1,1,0,4,0,0,0
135,2017-09-25,-1,2,2,0,0,0,0,0,0,0,0,0,0,0
136,2017-09-26,1,1,2,-1,1,2,0,0,0,0,1,1,0,1
137,2017-09-27,0,0,0,0,0,0,1,0,1,0,2,0,0,0
138,2017-09-28,0,0,0,0,1,0,0,0,0,0,3,0,0,0
139,2017-09-29,0,0,0,0,0,0,0,0,0,0,4,1,1,1
140,2017-10-02,1,2,3,1,0,1,1,1,1,0,0,0,1,0
141,2017-10-03,0,0,0,0,1,0,0,1,0,0,1,1,1,1
142,2017-10-04,1,0,1,0,0,0,1,1,1,0,2,-1,3,4
143,2017-10-05,0,0,0,0,0,0,-1,3,4,0,3,1,4,3
144,2017-10-06,0,0,0,0,0,0,1,4,3,0,4,-1,0,1
145,2017-10-09,0,1,0,0,0,0,-1,0,1,0,0,-1,2,3
146,2017-10-10,0,0,0,0,0,0,-1,2,3,0,1,-1,1,2
147,2017-10-11,0,0,0,0,0,0,-1,1,2,0,2,0,0,0
148,2017-10-12,1,1,2,0,0,0,0,0,0,0,3,0,1,0
149,2017-10-13,1,0,1,0,0,0,0,1,0,0,4,0,0,0
150,2017-10-16,1,0,1,0,0,0,0,0,0,0,0,1,1,1
151,2017-10-17,0,1,0,0,0,0,1,1,1,0,1,0,0,0
152,2017-10-18,0,0,0,0,0,0,0,0,0,0,2,1,1,1
153,2017-10-19,0,0,0,0,0,0,1,1,1,0,3,0,0,0
154,2017-10-20,-1,1,1,0,0,0,0,0,0,0,4,0,0,0
155,2017-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2017-10-24,1,1,1,0,0,0,0,0,0,0,1,1,1,2
157,2017-10-25,1,1,1,0,0,0,1,1,2,0,2,0,0,0
158,2017-10-26,0,0,0,0,1,0,0,0,0,0,3,1,1,2
159,2017-10-27,-1,1,1,0,0,0,1,1,2,0,4,1,2,3
160,2017-10-30,-1,1,2,1,2,3,1,2,3,0,0,-1,1,1
161,2017-10-31,0,0,0,0,0,0,-1,1,1,0,1,0,0,0
162,2017-11-01,1,3,3,0,0,0,0,0,0,0,2,0,1,0
163,2017-11-02,0,0,0,-1,1,1,0,1,0,0,3,-1,1,2
164,2017-11-03,0,0,0,0,1,0,-1,1,2,0,4,-1,0,1
165,2017-11-06,0,0,0,0,1,0,-1,0,1,0,0,0,1,0
166,2017-11-07,0,0,0,0,0,0,0,1,0,0,1,1,1,2
167,2017-11-08,0,0,0,0,0,0,1,1,2,0,2,1,1,1
168,2017-11-09,-1,1,2,0,0,0,1,1,1,0,3,0,1,0
169,2017-11-10,1,1,1,0,1,0,0,1,0,0,4,1,2,2
170,2017-11-13,0,0,0,0,0,0,1,2,2,0,0,0,0,0
171,2017-11-14,0,0,0,1,1,1,0,0,0,0,1,-1,1,2
172,2017-11-15,0,0,0,0,0,0,-1,1,2,0,2,-1,0,1
173,2017-11-16,0,0,0,0,0,0,-1,0,1,0,3,1,2,2
174,2017-11-17,0,0,0,1,1,2,1,2,2,0,4,0,2,0
175,2017-11-20,0,0,0,0,0,0,0,2,0,0,0,-1,2,1
176,2017-11-21,0,0,0,0,0,0,-1,2,1,0,1,1,4,5
177,2017-11-22,1,0,1,1,1,1,1,4,5,0,2,0,2,0
178,2017-11-23,0,0,0,0,0,0,0,2,0,0,3,-1,5,3
179,2017-11-24,1,0,1,0,0,0,-1,5,3,0,4,-1,1,2
180,2017-11-27,0,0,0,0,0,0,-1,1,2,0,0,-1,3,5
181,2017-11-28,0,1,0,0,0,0,-1,3,5,0,1,-1,2,3
182,2017-11-29,0,0,0,0,0,0,-1,2,3,0,2,-1,2,2
183,2017-11-30,1,1,1,-1,3,5,-1,2,2,0,3,0,2,0
184,2017-12-01,1,0,1,1,0,1,0,2,0,0,4,-1,1,2
185,2017-12-04,0,0,0,0,1,0,-1,1,2,0,0,1,2,4
186,2017-12-05,0,0,0,-1,2,3,1,2,4,0,1,1,4,5
187,2017-12-06,0,0,0,1,1,1,1,4,5,0,2,-1,2,2
188,2017-12-07,1,0,1,1,1,1,-1,2,2,0,3,-1,3,4
189,2017-12-08,0,0,0,1,0,1,-1,3,4,0,4,0,2,0
190,2017-12-11,1,0,1,0,0,0,0,2,0,0,0,1,2,2
191,2017-12-12,0,0,0,1,1,1,1,2,2,0,1,-1,2,1
192,2017-12-13,0,0,0,0,0,0,-1,2,1,0,2,0,1,0
193,2017-12-14,0,0,0,0,0,0,0,1,0,0,3,-1,1,2
194,2017-12-15,1,1,1,0,0,0,-1,1,2,0,4,-1,2,3
195,2017-12-18,0,0,0,1,1,2,-1,2,3,0,0,1,1,1
196,2017-12-19,0,0,0,0,0,0,1,1,1,0,1,1,3,4
197,2017-12-20,-1,1,1,-1,1,1,1,3,4,0,2,0,0,0
198,2017-12-21,1,1,1,-1,1,1,0,0,0,0,3,1,3,4
199,2017-12-22,0,0,0,0,0,0,1,3,4,0,4,-1,1,1
200,2017-12-26,0,0,0,0,0,0,-1,1,1,0,1,0,1,0
201,2017-12-27,0,0,0,0,0,0,0,1,0,0,2,-1,3,3
202,2017-12-28,1,1,1,0,0,0,-1,3,3,0,3,1,2,3
203,2017-12-29,0,0,0,0,0,0,1,2,3,0,4,0,1,0
204,2018-01-02,1,0,1,-1,1,1,0,1,0,0,1,1,3,5
205,2018-01-03,0,0,0,1,2,3,1,3,5,0,2,1,1,1
206,2018-01-04,0,0,0,1,1,3,1,1,1,0,3,0,1,0
207,2018-01-05,0,0,0,0,0,0,0,1,0,0,4,1,1,1
208,2018-01-08,0,0,0,1,0,1,1,1,1,0,0,0,0,0
209,2018-01-09,0,0,0,1,0,1,0,0,0,0,1,1,2,2
210,2018-01-10,-1,1,2,0,0,0,1,2,2,0,2,1,2,3
211,2018-01-11,0,0,0,0,0,0,1,2,3,0,3,0,1,0
212,2018-01-12,0,0,0,0,0,0,0,1,0,0,4,1,1,1
213,2018-01-15,1,1,2,1,1,2,1,1,1,0,0,1,2,4
214,2018-01-16,0,0,0,0,0,0,1,2,4,0,1,1,1,2
215,2018-01-17,1,1,1,-1,2,1,1,1,2,0,2,0,3,0
216,2018-01-18,1,0,1,0,1,0,0,3,0,0,3,0,1,0
217,2018-01-19,0,0,0,1,0,1,0,1,0,0,4,1,1,2
218,2018-01-22,0,0,0,0,0,0,1,1,2,0,0,0,1,0
219,2018-01-23,-1,0,1,1,1,2,0,1,0,0,1,1,2,3
220,2018-01-24,1,1,1,1,1,2,1,2,3,0,2,0,1,0
221,2018-01-25,0,0,0,-1,2,2,0,1,0,0,3,-1,3,5
222,2018-01-26,1,2,3,-1,1,2,-1,3,5,0,4,1,2,3
223,2018-01-29,1,1,2,1,1,1,1,2,3,0,0,-1,5,5
224,2018-01-30,0,0,0,0,0,0,-1,5,5,0,1,-1,2,2
